,sent_id,word,topic_id,topic_score
0,0,anderhalve,0,0.03246206417679787
1,0,anderhalve,2,0.018093831837177277
2,0,anderhalve,3,0.013444995507597923
3,0,anderhalve,5,0.012979826889932156
4,0,lockdown,1,0.028339620679616928
5,0,lockdown,3,0.026806483045220375
6,0,lockdown,5,0.010759448632597923
7,0,via,0,0.02268754504621029
8,1,allemaal,1,0.013905500993132591
9,1,corona,0,0.010516372509300709
10,1,corona,3,0.04187893122434616
11,1,gewoon,2,0.029279662296175957
12,1,meter,0,0.025987086817622185
13,1,meter,1,0.010295337997376919
14,1,meter,2,0.024252990260720253
15,1,meter,3,0.032498832792043686
16,1,meter,4,0.05097940191626549
17,1,meter,5,0.019691824913024902
18,1,week,1,0.018344981595873833
19,1,zie,3,0.025401750579476357
20,2,meter,0,0.025987086817622185
21,2,meter,1,0.010295337997376919
22,2,meter,2,0.024252990260720253
23,2,meter,3,0.032498832792043686
24,2,meter,4,0.05097940191626549
25,2,meter,5,0.019691824913024902
26,2,afstand,0,0.013506509363651276
27,2,afstand,1,0.02184661105275154
28,2,afstand,2,0.030169116333127022
29,2,afstand,3,0.01741955615580082
30,2,afstand,4,0.02522105537354946
31,2,afstand,5,0.017081083729863167
32,2,blijven,5,0.02281617373228073
33,2,gaan,2,0.019484372809529305
34,2,gaan,5,0.0220489501953125
35,2,houden,1,0.027276815846562386
36,2,houden,2,0.03333160653710365
37,2,houden,3,0.019370166584849358
38,2,houden,4,0.011532431468367577
39,2,houden,5,0.02216542698442936
40,2,mensen,1,0.010593553073704243
41,2,mensen,2,0.027829408645629883
42,2,mensen,3,0.01911386288702488
43,2,mensen,4,0.01867440715432167
44,2,mensen,5,0.018564222380518913
45,2,mogen,0,0.010922706685960293
46,2,mogen,3,0.013542120344936848
47,2,regel,5,0.027277842164039612
48,2,steeds,4,0.02215789258480072
49,2,steeds,5,0.011743659153580666
50,2,thuis,2,0.020776929333806038
51,2,thuis,4,0.013985197059810162
52,2,wanneer,4,0.013902385719120502
53,2,we,1,0.029164142906665802
54,2,we,2,0.014647376723587513
55,2,we,5,0.03876664489507675
56,2,weer,1,0.011518411338329315
57,2,weer,2,0.027011530473828316
58,2,weer,3,0.011785176582634449
59,2,werkt,3,0.025388823822140694
60,3,lockdown,1,0.028339620679616928
61,3,lockdown,3,0.026806483045220375
62,3,lockdown,5,0.010759448632597923
63,3,corona,0,0.010516372509300709
64,3,corona,3,0.04187893122434616
65,3,meter,0,0.025987086817622185
66,3,meter,1,0.010295337997376919
67,3,meter,2,0.024252990260720253
68,3,meter,3,0.032498832792043686
69,3,meter,4,0.05097940191626549
70,3,meter,5,0.019691824913024902
71,3,handen,1,0.013213765807449818
72,3,handen,2,0.02098681591451168
73,3,nieuwe,1,0.026631344109773636
74,3,normaal,1,0.03117392584681511
75,3,s,0,0.019691674038767815
76,4,zeg,0,0.01913711242377758
77,5,m,0,0.017229191958904266
78,5,m,1,0.03867082670331001
79,5,m,5,0.01306188851594925
80,5,moeten,5,0.037082601338624954
81,5,mogelijk,1,0.01585688255727291
82,5,mogelijk,4,0.012508561834692955
83,5,overheid,0,0.016416873782873154
84,5,quarantaine,5,0.018851563334465027
85,6,anderhalve,0,0.03246206417679787
86,6,anderhalve,2,0.018093831837177277
87,6,anderhalve,3,0.013444995507597923
88,6,anderhalve,5,0.012979826889932156
89,6,lockdown,1,0.028339620679616928
90,6,lockdown,3,0.026806483045220375
91,6,lockdown,5,0.010759448632597923
92,6,gewoon,2,0.029279662296175957
93,6,meter,0,0.025987086817622185
94,6,meter,1,0.010295337997376919
95,6,meter,2,0.024252990260720253
96,6,meter,3,0.032498832792043686
97,6,meter,4,0.05097940191626549
98,6,meter,5,0.019691824913024902
99,6,gaat,1,0.026213007047772408
100,6,gaat,2,0.014961917884647846
101,6,leven,2,0.013836581259965897
102,6,wel,1,0.01472223736345768
103,6,wel,2,0.02804906852543354
104,6,wel,3,0.022085873410105705
105,7,allemaal,1,0.013905500993132591
106,7,meter,0,0.025987086817622185
107,7,meter,1,0.010295337997376919
108,7,meter,2,0.024252990260720253
109,7,meter,3,0.032498832792043686
110,7,meter,4,0.05097940191626549
111,7,meter,5,0.019691824913024902
112,7,beter,3,0.043640803545713425
113,7,elkaar,2,0.011397606693208218
114,7,elkaar,4,0.01224643737077713
115,7,elkaar,5,0.02808929607272148
116,7,jaar,0,0.027144495397806168
117,8,afstand,0,0.013506509363651276
118,8,afstand,1,0.02184661105275154
119,8,afstand,2,0.030169116333127022
120,8,afstand,3,0.01741955615580082
121,8,afstand,4,0.02522105537354946
122,8,afstand,5,0.017081083729863167
123,8,houden,1,0.027276815846562386
124,8,houden,2,0.03333160653710365
125,8,houden,3,0.019370166584849358
126,8,houden,4,0.011532431468367577
127,8,houden,5,0.02216542698442936
128,8,steeds,4,0.02215789258480072
129,8,steeds,5,0.011743659153580666
130,8,jaar,0,0.027144495397806168
131,8,mondkapjes,1,0.015588980168104172
132,8,mondkapjes,3,0.013760547153651714
133,8,vakantie,0,0.019922956824302673
134,9,lockdown,1,0.028339620679616928
135,9,lockdown,3,0.026806483045220375
136,9,lockdown,5,0.010759448632597923
137,9,meter,0,0.025987086817622185
138,9,meter,1,0.010295337997376919
139,9,meter,2,0.024252990260720253
140,9,meter,3,0.032498832792043686
141,9,meter,4,0.05097940191626549
142,9,meter,5,0.019691824913024902
143,9,blijven,5,0.02281617373228073
144,9,gaan,2,0.019484372809529305
145,9,gaan,5,0.0220489501953125
146,9,we,1,0.029164142906665802
147,9,we,2,0.014647376723587513
148,9,we,5,0.03876664489507675
149,9,nodig,1,0.0255340114235878
150,9,regels,3,0.017847450450062752
151,9,regels,5,0.010867222212255001
152,9,ruimte,0,0.02182556316256523
153,10,week,1,0.018344981595873833
154,10,wij,1,0.02464613877236843
155,11,#stopdelockdown,4,0.03781375661492348
156,11,helemaal,0,0.013523477129638195
157,11,mee,5,0.018190627917647362
158,12,week,1,0.018344981595873833
159,12,m,0,0.017229191958904266
160,12,m,1,0.03867082670331001
161,12,m,5,0.01306188851594925
162,13,afstand,0,0.013506509363651276
163,13,afstand,1,0.02184661105275154
164,13,afstand,2,0.030169116333127022
165,13,afstand,3,0.01741955615580082
166,13,afstand,4,0.02522105537354946
167,13,afstand,5,0.017081083729863167
168,13,gaat,1,0.026213007047772408
169,13,gaat,2,0.014961917884647846
170,13,even,2,0.027293339371681213
171,13,goed,1,0.011552355252206326
172,13,goed,2,0.011070108972489834
173,13,zien,2,0.016629600897431374
174,14,via,0,0.02268754504621029
175,14,meter,0,0.025987086817622185
176,14,meter,1,0.010295337997376919
177,14,meter,2,0.024252990260720253
178,14,meter,3,0.032498832792043686
179,14,meter,4,0.05097940191626549
180,14,meter,5,0.019691824913024902
181,15,afstand,0,0.013506509363651276
182,15,afstand,1,0.02184661105275154
183,15,afstand,2,0.030169116333127022
184,15,afstand,3,0.01741955615580082
185,15,afstand,4,0.02522105537354946
186,15,afstand,5,0.017081083729863167
187,15,houden,1,0.027276815846562386
188,15,houden,2,0.03333160653710365
189,15,houden,3,0.019370166584849358
190,15,houden,4,0.011532431468367577
191,15,houden,5,0.02216542698442936
192,15,mensen,1,0.010593553073704243
193,15,mensen,2,0.027829408645629883
194,15,mensen,3,0.01911386288702488
195,15,mensen,4,0.01867440715432167
196,15,mensen,5,0.018564222380518913
197,15,doe,1,0.013207819312810898
198,15,maken,0,0.016016975045204163
199,15,natuurlijk,2,0.019065214321017265
200,16,lockdown,1,0.028339620679616928
201,16,lockdown,3,0.026806483045220375
202,16,lockdown,5,0.010759448632597923
203,16,meter,0,0.025987086817622185
204,16,meter,1,0.010295337997376919
205,16,meter,2,0.024252990260720253
206,16,meter,3,0.032498832792043686
207,16,meter,4,0.05097940191626549
208,16,meter,5,0.019691824913024902
209,16,denk,4,0.0154926972463727
210,16,vaccin,0,0.014667085371911526
211,16,vaccin,3,0.02195153944194317
212,16,vaccin,5,0.014781993813812733
213,16,‘,0,0.02203148789703846
214,16,‘,1,0.014025192707777023
215,17,quarantaine,5,0.018851563334465027
216,17,leven,2,0.013836581259965897
217,17,#blijfthuis,4,0.031768910586833954
218,17,mondkapje,2,0.017868371680378914
219,18,afstand,0,0.013506509363651276
220,18,afstand,1,0.02184661105275154
221,18,afstand,2,0.030169116333127022
222,18,afstand,3,0.01741955615580082
223,18,afstand,4,0.02522105537354946
224,18,afstand,5,0.017081083729863167
225,18,houden,1,0.027276815846562386
226,18,houden,2,0.03333160653710365
227,18,houden,3,0.019370166584849358
228,18,houden,4,0.011532431468367577
229,18,houden,5,0.02216542698442936
230,18,mensen,1,0.010593553073704243
231,18,mensen,2,0.027829408645629883
232,18,mensen,3,0.01911386288702488
233,18,mensen,4,0.01867440715432167
234,18,mensen,5,0.018564222380518913
235,18,steeds,4,0.02215789258480072
236,18,steeds,5,0.011743659153580666
237,18,wel,1,0.01472223736345768
238,18,wel,2,0.02804906852543354
239,18,wel,3,0.022085873410105705
240,18,elkaar,2,0.011397606693208218
241,18,elkaar,4,0.01224643737077713
242,18,elkaar,5,0.02808929607272148
243,18,alle,0,0.01199941523373127
244,18,alle,3,0.02224167436361313
245,18,mag,3,0.023788079619407654
246,18,mag,4,0.012680165469646454
247,18,waarom,0,0.02072514407336712
248,19,meter,0,0.025987086817622185
249,19,meter,1,0.010295337997376919
250,19,meter,2,0.024252990260720253
251,19,meter,3,0.032498832792043686
252,19,meter,4,0.05097940191626549
253,19,meter,5,0.019691824913024902
254,19,afstand,0,0.013506509363651276
255,19,afstand,1,0.02184661105275154
256,19,afstand,2,0.030169116333127022
257,19,afstand,3,0.01741955615580082
258,19,afstand,4,0.02522105537354946
259,19,afstand,5,0.017081083729863167
260,19,gaan,2,0.019484372809529305
261,19,gaan,5,0.0220489501953125
262,19,houden,1,0.027276815846562386
263,19,houden,2,0.03333160653710365
264,19,houden,3,0.019370166584849358
265,19,houden,4,0.011532431468367577
266,19,houden,5,0.02216542698442936
267,19,wel,1,0.01472223736345768
268,19,wel,2,0.02804906852543354
269,19,wel,3,0.022085873410105705
270,19,@minpres,4,0.015118525363504887
271,19,t,1,0.01798558607697487
272,20,corona,0,0.010516372509300709
273,20,corona,3,0.04187893122434616
274,20,vaccin,0,0.014667085371911526
275,20,vaccin,3,0.02195153944194317
276,20,vaccin,5,0.014781993813812733
277,20,#blijfthuis,4,0.031768910586833954
278,20,virus,0,0.022554712370038033
279,20,virus,1,0.014422607608139515
280,20,”,0,0.018328998237848282
281,21,wel,1,0.01472223736345768
282,21,wel,2,0.02804906852543354
283,21,wel,3,0.022085873410105705
284,21,alleen,0,0.02487984485924244
285,21,zeggen,0,0.01119332853704691
286,21,zitten,5,0.013024415820837021
287,22,afstand,0,0.013506509363651276
288,22,afstand,1,0.02184661105275154
289,22,afstand,2,0.030169116333127022
290,22,afstand,3,0.01741955615580082
291,22,afstand,4,0.02522105537354946
292,22,afstand,5,0.017081083729863167
293,22,houden,1,0.027276815846562386
294,22,houden,2,0.03333160653710365
295,22,houden,3,0.019370166584849358
296,22,houden,4,0.011532431468367577
297,22,houden,5,0.02216542698442936
298,22,leven,2,0.013836581259965897
299,22,maatregelen,1,0.014623724855482578
300,22,nemen,5,0.017829766497015953
301,22,onze,5,0.019093016162514687
302,22,samenleving,3,0.020285313948988914
303,23,corona,0,0.010516372509300709
304,23,corona,3,0.04187893122434616
305,23,afstand,0,0.013506509363651276
306,23,afstand,1,0.02184661105275154
307,23,afstand,2,0.030169116333127022
308,23,afstand,3,0.01741955615580082
309,23,afstand,4,0.02522105537354946
310,23,afstand,5,0.017081083729863167
311,23,houden,1,0.027276815846562386
312,23,houden,2,0.03333160653710365
313,23,houden,3,0.019370166584849358
314,23,houden,4,0.011532431468367577
315,23,houden,5,0.02216542698442936
316,23,handen,1,0.013213765807449818
317,23,handen,2,0.02098681591451168
318,23,leven,2,0.013836581259965897
319,23,vakantie,0,0.019922956824302673
320,23,mondkapje,2,0.017868371680378914
321,23,echt,4,0.019054198637604713
322,23,echt,5,0.010857515968382359
323,24,afstand,0,0.013506509363651276
324,24,afstand,1,0.02184661105275154
325,24,afstand,2,0.030169116333127022
326,24,afstand,3,0.01741955615580082
327,24,afstand,4,0.02522105537354946
328,24,afstand,5,0.017081083729863167
329,24,houden,1,0.027276815846562386
330,24,houden,2,0.03333160653710365
331,24,houden,3,0.019370166584849358
332,24,houden,4,0.011532431468367577
333,24,houden,5,0.02216542698442936
334,24,mogelijk,1,0.01585688255727291
335,24,mogelijk,4,0.012508561834692955
336,24,kans,4,0.05099555850028992
337,25,afstand,0,0.013506509363651276
338,25,afstand,1,0.02184661105275154
339,25,afstand,2,0.030169116333127022
340,25,afstand,3,0.01741955615580082
341,25,afstand,4,0.02522105537354946
342,25,afstand,5,0.017081083729863167
343,25,houden,1,0.027276815846562386
344,25,houden,2,0.03333160653710365
345,25,houden,3,0.019370166584849358
346,25,houden,4,0.011532431468367577
347,25,houden,5,0.02216542698442936
348,25,mensen,1,0.010593553073704243
349,25,mensen,2,0.027829408645629883
350,25,mensen,3,0.01911386288702488
351,25,mensen,4,0.01867440715432167
352,25,mensen,5,0.018564222380518913
353,25,handen,1,0.013213765807449818
354,25,handen,2,0.02098681591451168
355,25,zien,2,0.016629600897431374
356,25,mondkapje,2,0.017868371680378914
357,25,laat,0,0.015687253326177597
358,25,laat,4,0.012683358043432236
359,25,wassen,1,0.010307456366717815
360,25,wassen,2,0.01150152925401926
361,25,zoals,2,0.014326079748570919
362,26,afstand,0,0.013506509363651276
363,26,afstand,1,0.02184661105275154
364,26,afstand,2,0.030169116333127022
365,26,afstand,3,0.01741955615580082
366,26,afstand,4,0.02522105537354946
367,26,afstand,5,0.017081083729863167
368,26,beter,3,0.043640803545713425
369,26,minder,3,0.03488298878073692
370,27,week,1,0.018344981595873833
371,27,#houdafstand,4,0.024607699364423752
372,27,#lockdown,4,0.03041728585958481
373,27,komt,0,0.012106209993362427
374,27,komt,4,0.021153857931494713
375,28,afstand,0,0.013506509363651276
376,28,afstand,1,0.02184661105275154
377,28,afstand,2,0.030169116333127022
378,28,afstand,3,0.01741955615580082
379,28,afstand,4,0.02522105537354946
380,28,afstand,5,0.017081083729863167
381,28,houden,1,0.027276815846562386
382,28,houden,2,0.03333160653710365
383,28,houden,3,0.019370166584849358
384,28,houden,4,0.011532431468367577
385,28,houden,5,0.02216542698442936
386,28,s,0,0.019691674038767815
387,28,m,0,0.017229191958904266
388,28,m,1,0.03867082670331001
389,28,m,5,0.01306188851594925
390,28,alle,0,0.01199941523373127
391,28,alle,3,0.02224167436361313
392,29,lockdown,1,0.028339620679616928
393,29,lockdown,3,0.026806483045220375
394,29,lockdown,5,0.010759448632597923
395,29,meter,0,0.025987086817622185
396,29,meter,1,0.010295337997376919
397,29,meter,2,0.024252990260720253
398,29,meter,3,0.032498832792043686
