,sent_id,word_id,word,value
0,0,0,anderhalve,0.48610770948669046
1,0,1,lockdown,0.4367823299078962
2,0,2,via,0.7569151148298158
3,1,3,allemaal,0.38115080558061554
4,1,4,corona,0.3313118790829734
5,1,5,gewoon,0.3178855417383751
6,1,6,meter,0.2156193038120983
7,1,7,vooral,0.4639018999468766
8,1,8,week,0.43110841206294087
9,1,9,zie,0.44311868007937866
10,2,6,meter,0.1585031272366572
11,2,10,afstand,0.06099645080563496
12,2,11,blijven,0.2527671496673653
13,2,12,gaan,0.21436265487139688
14,2,13,houden,0.11225082454482885
15,2,14,mensen,0.16267923926592173
16,2,15,mogen,0.3257393716045402
17,2,16,regel,0.32120873679604584
18,2,17,steeds,0.2857748838565974
19,2,18,thuis,0.2418216575328178
20,2,19,wanneer,0.32120873679604584
21,2,20,we,0.4840787541643407
22,2,21,weer,0.19970320313862788
23,2,22,werkt,0.30892390344203213
24,3,1,lockdown,0.26907243759125693
25,3,4,corona,0.37649581780605496
26,3,6,meter,0.12251261009445666
27,3,23,handen,0.396914792312416
28,3,24,nieuwe,0.45591628633012793
29,3,25,normaal,0.42116584420208236
30,3,26,s,0.47755617685375645
31,4,27,nl,0.7071067811865476
32,4,28,zeg,0.7071067811865476
33,5,29,m,0.4782179350619677
34,5,30,moeten,0.30268438979436946
35,5,31,mogelijk,0.3664833776575811
36,5,32,overheid,0.4347132280912859
37,5,33,quarantaine,0.4160604189844657
38,5,34,verplicht,0.428132967356513
39,6,0,anderhalve,0.19558998871013758
40,6,1,lockdown,0.17574346036536595
41,6,5,gewoon,0.4718825092034363
42,6,6,meter,0.08001856388241338
43,6,35,gaat,0.47504549162933213
44,6,36,leven,0.667455824352731
45,6,37,wel,0.1749777780676812
46,7,3,allemaal,0.5136147144993719
47,7,6,meter,0.14527746701112634
48,7,38,beter,0.559465793587971
49,7,39,elkaar,0.371876771906058
50,7,40,jaar,0.5136147144993719
51,8,10,afstand,0.10580247206428679
52,8,13,houden,0.19470665212868823
53,8,17,steeds,0.49569587683484073
54,8,40,jaar,0.4860022583039212
55,8,41,mondkapjes,0.44186189538536375
56,8,42,vakantie,0.523202278799323
57,9,1,lockdown,0.18321848296308052
58,9,6,meter,0.08342205082875088
59,9,11,blijven,0.26606861801415316
60,9,12,gaan,0.22564314789534237
61,9,20,we,0.3397017513286148
62,9,43,blijft,0.33811183457131794
63,9,44,nodig,0.30081333160159834
64,9,45,regels,0.6350112153126167
65,9,46,ruimte,0.33811183457131794
66,10,8,week,0.7553449886835584
67,10,47,wij,0.6553273594705437
68,11,48,#stopdelockdown,0.5320758468554541
69,11,49,helemaal,0.6245111185845379
70,11,50,mee,0.5717352149005173
71,12,8,week,0.8640950642249599
72,12,29,m,0.5033286401369014
73,13,10,afstand,0.10831648891918488
74,13,35,gaat,0.4177460002501198
75,13,51,even,0.5356343072931693
76,13,52,goed,0.4752994203781463
77,13,53,zien,0.5485819604598858
78,14,2,via,0.9671734672075931
79,14,6,meter,0.25411706815883695
80,15,10,afstand,0.09622849952141836
81,15,13,houden,0.17708781860784917
82,15,14,mensen,0.25664409799396515
83,15,54,doe,0.4935107186533299
84,15,55,grote,0.4814844517078858
85,15,56,maken,0.43782723447906735
86,15,57,natuurlijk,0.4758581652464062
87,16,1,lockdown,0.34890493459541283
88,16,6,meter,0.15886151177272664
89,16,58,denk,0.5848451505753481
90,16,59,vaccin,0.4917366894447213
91,16,60,‘,0.5188251582129558
92,17,33,quarantaine,0.510816316701712
93,17,36,leven,0.5256383339165789
94,17,61,#blijfthuis,0.49747911485804597
95,17,62,mondkapje,0.4639887528688107
96,18,10,afstand,0.09304117889836772
97,18,13,houden,0.17122224178656434
98,18,14,mensen,0.2481434248005904
99,18,17,steeds,0.43590785598800136
100,18,37,wel,0.2643447096763047
101,18,39,elkaar,0.30944200893299323
102,18,63,alle,0.4315745912507982
103,18,64,mag,0.4193921329021781
104,18,65,waarom,0.42738342665935763
105,19,6,meter,0.1281817250005075
106,19,10,afstand,0.09865584887168917
107,19,12,gaan,0.34671082339061093
108,19,13,houden,0.18155483205580342
109,19,37,wel,0.560593750780894
110,19,66,@minpres,0.512572102251234
111,19,67,t,0.4936298241997274
112,20,4,corona,0.3902997741929633
113,20,59,vaccin,0.39312698723446654
114,20,61,#blijfthuis,0.5013125047809904
115,20,68,virus,0.41146739614830186
116,20,69,”,0.5220130387547989
117,21,37,wel,0.3286919453720121
118,21,70,alleen,0.465276201234359
119,21,71,zeggen,0.6178162567144744
120,21,72,zitten,0.5420172825213242
121,22,10,afstand,0.08684075628343656
122,22,13,houden,0.15981169999503886
123,22,36,leven,0.4705747821153471
124,22,73,maatregelen,0.3810625837171742
125,22,74,nemen,0.4511861133259336
126,22,75,onze,0.4453653985563648
127,22,76,samenleving,0.4453653985563648
128,23,4,corona,0.3449283543526373
129,23,10,afstand,0.08638657555923324
130,23,13,houden,0.158975878236382
131,23,23,handen,0.36363529063439887
132,23,36,leven,0.4681136566659625
133,23,42,vakantie,0.4271890089940254
134,23,62,mondkapje,0.41321086713544203
135,23,77,echt,0.37906961074403966
136,24,10,afstand,0.12116928676366867
137,24,13,houden,0.22298596343041827
138,24,31,mogelijk,0.5620477516122538
139,24,55,grote,0.6062770165948096
140,24,78,kans,0.5021212683353489
141,25,10,afstand,0.06247682539113511
142,25,13,houden,0.11497513498687591
143,25,14,mensen,0.16662743966474755
144,25,23,handen,0.2629896880614544
145,25,53,zien,0.316421439601412
146,25,62,mondkapje,0.5976878474141865
147,25,79,laat,0.3204142551458463
